,user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,TIGO,ZONE1,ZONE2,MRG,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN
2108969,faa2c12b54d0a2388edd0b5503dc6cacf59831db,DAKAR,K > 24 month,22100.0,17.0,22180.0,7393.0,35.0,25957.0,6.0,106.0,9.0,,,NO,62,IVR Echat_Daily_50F,25.0,0
183804,15e99e23c94aa218a9c355a930aabc4600bce082,,K > 24 month,,,,,,,,,,,,NO,11,,,0
487043,39e26d9a317ce3f468b9e963a3d359f359b3a639,DAKAR,K > 24 month,4000.0,4.0,3980.0,1327.0,4.0,8211.0,4.0,3.0,1.0,,,NO,31,"Data:1000F=2GB,30d",4.0,0
1589372,bce11ed6cebd104ef0a70ac6b651cb4f71c7f7f8,DAKAR,K > 24 month,6000.0,32.0,6003.0,2001.0,39.0,6831.0,1.0,13.0,2.0,,,NO,43,"Data: 100 F=40MB,24H",17.0,0
226912,1b087f77b0760f47ec23bae8cbbfe999c353ac10,LOUGA,K > 24 month,10500.0,23.0,11500.0,3833.0,28.0,,378.0,180.0,11.0,,,NO,62,All-net 500F=2000F;5d,16.0,0
89748,0ab61316744c129ba836fded5c3a45e7b985786d,,K > 24 month,,,,,,,,,,,,NO,7,,,0
1999452,eda84d2df337ce53c9bbcdcb98173c9135d0e0bb,TAMBACOUNDA,K > 24 month,500.0,1.0,500.0,167.0,1.0,,0.0,15.0,,,,NO,38,All-net 500F=2000F;5d,1.0,0
1405540,a7162258dfe1018ce717bc9678ef76769986c64c,THIES,K > 24 month,500.0,1.0,515.0,172.0,2.0,0.0,3.0,20.0,,,,NO,24,MIXT:500F= 2500F on net _2500F off net;2d,1.0,0
414108,313e6350a366ba46c2d34905d7a7055d29162965,,I 18-21 month,,,,,,,,,,,,NO,2,,,0
537506,3fe2118dc8bcc7ab9f3d3c6152b5d09811364888,KAOLACK,K > 24 month,700.0,3.0,690.0,230.0,3.0,1231.0,,,,,,NO,15,"Data: 100 F=40MB,24H",2.0,0
1706245,caba9d9bcbaa78cad4d91cd96ffa1372ba5f736d,,K > 24 month,500.0,1.0,349.0,116.0,1.0,,2.0,1.0,,,,NO,44,,,0
1922941,e4884aaeac78f446cef914e1fd261314970f8ec4,,K > 24 month,,,,,,,,,,,,NO,1,,,1
416817,3191815eb8aeeaa0e46822bbaa1fa392f4c50473,,K > 24 month,,,,,,,,,,,,NO,1,,,0
705046,53c7e309a0f202b7431b3dce1c13847bbf1f41fc,,K > 24 month,1350.0,11.0,1350.0,450.0,13.0,1809.0,8.0,1.0,5.0,,,NO,24,"Data: 100 F=40MB,24H",10.0,0
1253637,950c864013ad18dbfb2b29d77d55bc8206a4122b,,K > 24 month,3600.0,9.0,3600.0,1200.0,9.0,,3.0,154.0,,,,NO,12,Jokko_Daily,4.0,0
436048,33d94348847ea322af93da9e857efeeda908443c,,K > 24 month,1000.0,1.0,2090.0,697.0,3.0,162.0,,3.0,,,,NO,2,"Data:490F=1GB,7d",1.0,1
1268237,96c89425b83749f1764815fb34fe178452170126,,K > 24 month,,,99.0,33.0,2.0,0.0,1.0,1.0,,,,NO,14,,,1
1605591,becf1d9a451eba1c24af4040a46acace157eb5dc,,K > 24 month,,,,,,,,,,,,NO,1,,,1
2070073,f601b942b637885b7f533ca35c8aae39328d6854,,K > 24 month,1000.0,2.0,1000.0,333.0,2.0,144.0,2.0,41.0,10.0,,,NO,12,Jokko_Daily,2.0,0
541566,405e2a3d263d46613a48e0c721c7c216c2e15a71,SAINT-LOUIS,K > 24 month,3000.0,6.0,3001.0,1000.0,6.0,,63.0,49.0,,,,NO,46,All-net 500F=2000F;5d,5.0,0
1724302,cce65763f94e5af29eb654213750e90289067f09,FATICK,K > 24 month,150.0,1.0,151.0,50.0,5.0,,1.0,,0.0,,,NO,24,,,0
176205,14fc0b10cd5dc904f5e38fe1db6bc465c70f2bfc,TAMBACOUNDA,K > 24 month,5000.0,14.0,4764.0,1588.0,20.0,,9.0,72.0,0.0,,,NO,46,Mixt 250F=Unlimited_call24H,3.0,0
1078970,804fe32719496b8753a55f8c252384a2b83ffd11,LOUGA,K > 24 month,800.0,4.0,800.0,267.0,4.0,0.0,240.0,10.0,,,,NO,12,On net 200F=Unlimited _call24H,4.0,0
994081,763c8750c0966fb2a1b4ed7d4c65c1a2b842f387,,K > 24 month,250.0,1.0,250.0,83.0,1.0,9.0,0.0,1.0,,,,NO,3,Mixt 250F=Unlimited_call24H,1.0,1
2003289,ee1b484dee49c5b2883fe9cbedbfdc9e375e944e,THIES,K > 24 month,2000.0,7.0,2000.0,667.0,7.0,0.0,74.0,35.0,3.0,,,NO,37,On net 200F=Unlimited _call24H,4.0,0
846357,64a4910ceffa9b8506c003f0846c561876b53fec,,K > 24 month,,,,,,702.0,8.0,,,,,NO,30,,,0
91204,0ae1f4880c6b8fcd097e4b0af077f288c4a40878,,K > 24 month,,,,,,,,,,,,NO,1,,,1
364979,2b69464411b3af5ee6db52ecebda3710df2f70ac,KOLDA,K > 24 month,,,,,,,,,,,,NO,25,,,0
256431,1e8e0fe4e5b430ee5b27e89ff5492358df49d24c,,K > 24 month,1100.0,4.0,1098.0,366.0,5.0,1204.0,2.0,4.0,10.0,,,NO,22,"Data: 200 F=100MB,24H",3.0,1
1134686,86fa873cfab3aedd28eeed301070f54fac371581,,K > 24 month,,,,,,,1.0,,,,,NO,4,,,0
2092461,f8ae0cf62459ad0e75465fdeb4f472ae9fa87aaf,,K > 24 month,,,,,,,,,,,,NO,4,,,1
959260,72185e22871a1681e32c82b0e8492bd3892de641,LOUGA,K > 24 month,400.0,2.0,399.0,133.0,3.0,0.0,288.0,,8.0,12.0,,NO,45,On net 200F=Unlimited _call24H,1.0,0
1320933,9d093a26518c2e6540bd180242cb4c7b4cf51c1b,,K > 24 month,,,12.0,4.0,1.0,27.0,,,,0.0,,NO,5,,,0
1672185,c6b5fbbd0c9374c79dc6f2137ea56bb8a7436c7b,DAKAR,K > 24 month,3500.0,7.0,4000.0,1333.0,8.0,,16.0,43.0,26.0,,,NO,27,All-net 500F=2000F;5d,8.0,0
2125938,fca6c3e42e80f4adf0f1d10322bc35d42ab43a76,,K > 24 month,,,,,,,,,,,,NO,1,,,1
1502390,b28e4509d2610a42e0874776577bd6a2b8b821a5,SAINT-LOUIS,K > 24 month,12350.0,46.0,12779.0,4260.0,52.0,7050.0,149.0,245.0,2.0,,,NO,61,Mixt 250F=Unlimited_call24H,38.0,0
970786,737c65df515b78161820be4971df5adf6b779cec,,K > 24 month,,,,,,,,,,,,NO,16,,,1
1873187,de9d575975cd86c7d36e7e9c0501f7733568b8ab,DAKAR,K > 24 month,1000.0,2.0,1000.0,333.0,2.0,41.0,3.0,16.0,14.0,,,NO,20,All-net 500F=2000F;5d,2.0,0
90119,0ac0d6820b23fa2398983014c939335c6ae2408f,DAKAR,K > 24 month,8200.0,20.0,8199.0,2733.0,22.0,7119.0,103.0,38.0,45.0,,,NO,62,On net 200F=Unlimited _call24H,7.0,0
1075346,7fde9e1170f749ebc942111275b8e48d6764e34f,,K > 24 month,,,,,,48.0,,,,,,NO,6,,,1
57672,06ef66d33a04661afd61dd7f65d9e55e856ad684,,K > 24 month,1000.0,2.0,501.0,167.0,4.0,33.0,17.0,2.0,,,,NO,29,,,0
1933871,e5d4af32d155e5bf0848315a5f71bd5581d23aba,,K > 24 month,,,,,,,,,,,,NO,3,,,0
1983649,ebc4d79b0c61a6a2d6740733bd90e3d2ca42e1bc,DAKAR,K > 24 month,13500.0,20.0,13354.0,4451.0,23.0,5533.0,592.0,9.0,29.0,,,NO,62,"On-net 500=4000,10d",12.0,0
2123782,fc62b729fe2dd8dde5e1c8f0942834f6fd59fe31,,K > 24 month,,,,,,,,,,,,NO,5,,,0
890696,69f16e6c6c29431de253871280e7a6b684626ebe,,K > 24 month,,,,,,,,,,,,NO,1,,,1
902747,6b61e87d823712b5d1502845a9ab6235a7599d5a,SAINT-LOUIS,K > 24 month,7500.0,12.0,7799.0,2600.0,15.0,,304.0,163.0,7.0,,,NO,56,All-net 500F=2000F;5d,10.0,0
1022783,79a0068eceffcbc0c4f11c32e1d2d92fe18306ed,DAKAR,K > 24 month,2200.0,8.0,2501.0,834.0,12.0,791.0,49.0,25.0,16.0,,,NO,56,All-net 500F=2000F;5d,3.0,0
1324033,9d680695024907db47ab268f33e2acea6bcafab5,MATAM,K > 24 month,4016.0,1.0,1787.0,596.0,3.0,,,13.0,,,0.0,NO,18,,,0
1734848,ce29ca523ed6a029d34342f599e72ff28c82974f,,K > 24 month,5010.0,4.0,8524.0,2841.0,12.0,1168.0,40.0,34.0,,,0.0,NO,35,"Data:1000F=2GB,30d",2.0,0
1278425,97fdb2e8bfb37813a50621b99f9cbca238d46dc6,DAKAR,K > 24 month,7500.0,9.0,7481.0,2494.0,17.0,15280.0,0.0,1.0,,,,NO,59,"Data:1000F=2GB,30d",5.0,0
1015261,78b919afb5717c093d54fdd96e4cb2661b7da4ac,,K > 24 month,,,,,,,,,,,,NO,18,,,0
1947369,e772068cda59880c45c0fa1fd6d3bf671e3dbd69,DAKAR,K > 24 month,,,,,,,,,,,,NO,12,,,0
1934468,e5e6822390a01427658d4d31dd3ab5d1321b47a6,,K > 24 month,4600.0,12.0,4798.0,1599.0,12.0,0.0,1501.0,106.0,5.0,,,NO,58,On net 200F=Unlimited _call24H,5.0,0
1997598,ed6dee3fe27ccdf23a6ba47da3e1b33a8c11346c,,K > 24 month,,,,,,,,,,,,NO,2,,,1
496582,3b07a1db33b644d03b3fe5a2bb0fa10816df6804,,K > 24 month,,,,,,,,,,,,NO,23,,,1
379167,2d15d7d03bf5bce8683045ba332b31fe1fdc3db6,KAOLACK,K > 24 month,8700.0,17.0,8699.0,2900.0,18.0,68.0,42.0,142.0,19.0,1.0,,NO,48,All-net 500F=2000F;5d,8.0,0
1850059,dbdea5b79a2b65cfcf9512c602074373dd2de3a0,,K > 24 month,,,,,,,,,,,,NO,1,,,1
1884361,dff16137e8af5f0cc0b44a767467ae10a4cc7c17,SAINT-LOUIS,K > 24 month,,,,,,0.0,8.0,,,,,NO,14,,,0
1220077,911876e4dc965275a11a7af895d1001d257c3796,DAKAR,K > 24 month,2500.0,5.0,2502.0,834.0,8.0,410.0,,17.0,2.0,,,NO,24,"Data:490F=1GB,7d",4.0,0
1114175,84864cf6cbeaecfa363b4568873178f953be55c7,,K > 24 month,,,,,,,,,,,,NO,6,,,0
271816,2063e2436b18e84d6f109d896f2e5b5b0b14c93c,,K > 24 month,,,,,,,1.0,,,,,NO,1,,,1
486551,39d409b8d108442ed2ba929e3f6f8d6e8a7c8bd0,,K > 24 month,500.0,1.0,500.0,167.0,1.0,190.0,28.0,17.0,0.0,,,NO,12,All-net 500F=2000F;5d,1.0,1
1315527,9c648dc9f32f6a8b06bd08e7fb77453e61750be9,KAOLACK,K > 24 month,10100.0,18.0,10100.0,3367.0,21.0,32076.0,13.0,34.0,2.0,,,NO,56,"Data:490F=1GB,7d",12.0,0
465543,375850f96517178d10147d8fb104c0d601673420,TAMBACOUNDA,K > 24 month,5700.0,26.0,6400.0,2133.0,30.0,2096.0,141.0,50.0,2.0,,1.0,NO,54,"Data: 100 F=40MB,24H",15.0,0
406762,305c9682b0f34f38633bd551fee8afba4eb3ef91,FATICK,K > 24 month,18500.0,7.0,15611.0,5204.0,10.0,0.0,1181.0,229.0,26.0,,0.0,NO,62,MIXT: 200mnoff net _unl on net _5Go;30d,3.0,0
959941,722cacaf5262f421531fd6dcf81b16288b40d6ed,,K > 24 month,,,,,,,,,,,,NO,1,,,1
1571463,babdb6a4f46087ee70d7fde682b5127d9cf97beb,,K > 24 month,3100.0,9.0,3004.0,1001.0,12.0,,,52.0,,,3.0,NO,19,All-net 500F=2000F;5d,1.0,0
926724,6e3c01788fb5a20ff68c34968e43f5e73d3b6f96,KAOLACK,K > 24 month,3200.0,14.0,2885.0,962.0,15.0,,357.0,54.0,13.0,,,NO,42,On net 200F=Unlimited _call24H,12.0,0
493243,3aa1369e189a3296ef38a5122b1e035d3eac1428,THIES,K > 24 month,2000.0,4.0,2001.0,667.0,4.0,,12.0,50.0,6.0,,,NO,11,All-net 500F=2000F;5d,4.0,0
168991,1423bcc0eada6b38dcc1725d4c7f3a95d39d34cb,KAOLACK,K > 24 month,,,,,,0.0,12.0,,,,,NO,23,,,0
1030723,7a94b8a9a85d612851d173856d800bd429fdaf7e,,K > 24 month,500.0,1.0,500.0,167.0,1.0,,0.0,30.0,,1.0,,NO,26,All-net 500F=2000F;5d,1.0,0
812630,609a59eb8314b9add85fb886f822445b2a72406e,LOUGA,K > 24 month,700.0,2.0,701.0,234.0,3.0,,23.0,8.0,,,,NO,44,On net 200F=Unlimited _call24H,1.0,0
182306,15bbc38ab9555cc0d7ec08bfbbd6877204714a67,,K > 24 month,,,,,,,,,,,,NO,1,,,1
557426,423d40ec16d1f5dffcfb033a27e49d9122ebe9b6,SAINT-LOUIS,K > 24 month,,,25.0,8.0,1.0,,1.0,,,,,NO,2,,,0
683286,51346a6e23b424fb35c8d0e15bb978fba35b28a0,SAINT-LOUIS,K > 24 month,800.0,4.0,799.0,266.0,8.0,0.0,4.0,2.0,,,,NO,20,,,0
321358,2645e2856a0bf1c683b1cfd12017fbd911af87e1,,K > 24 month,,,,,,,,,,,,NO,38,,,1
1687403,c8838224e10a3fa1fcd9cde89082382cd119be2e,SAINT-LOUIS,K > 24 month,,,,,,0.0,4.0,,,,,NO,21,,,0
1647198,c3b797c6d3e69c49033a05a1f08873c231b95f6b,,F 9-12 month,11050.0,21.0,11612.0,3871.0,25.0,6859.0,8.0,176.0,1.0,,,NO,33,"Data:490F=1GB,7d",8.0,1
820181,617ea59e33ab8bd7bb64161504455b18d941ef9f,,K > 24 month,,,,,,,,,,,,NO,2,,,1
1769809,d255b81b18f714c364f798932452c741dbab8912,,K > 24 month,,,,,,,,,,,,NO,2,,,1
2002648,ee08914973b463abebec3b5f99477eda247c92c0,,K > 24 month,,,,,,,,,,,,NO,15,,,1
820545,618a005972cffed95da898a675add8a260433b72,DAKAR,K > 24 month,2900.0,11.0,3101.0,1034.0,16.0,3675.0,362.0,44.0,0.0,2.0,,NO,34,On net 200F=Unlimited _call24H,4.0,0
1997203,ed60c70ca1099ae85b5f96285ce3a1cde62dd78e,,K > 24 month,,,,,,,,,,,,NO,1,,,1
1503047,b2a1d46e32d5fbcc8f2f65602d4bc6ab93eba592,,K > 24 month,,,,,,,,,,,,NO,2,,,0
1839027,da8de5a531f8030802962da4d670fe8ec364650e,,K > 24 month,,,,,,,,,,,,NO,2,,,0
1779960,d388f53e0359239f5365463770cb5f860c46630d,ZIGUINCHOR,K > 24 month,,,,,,0.0,,,,,,NO,17,,,0
1068628,7f1228baed02437b4f35ba1093d55014746e4a7e,SAINT-LOUIS,K > 24 month,15000.0,16.0,14700.0,4900.0,17.0,,1067.0,10.0,3.0,,2.0,NO,62,On-net 1000F=10MilF;10d,13.0,0
112422,0d6c4cfdfcb35ca1b951635662b57a68932540b0,DAKAR,K > 24 month,4550.0,10.0,4530.0,1510.0,13.0,471.0,136.0,13.0,80.0,,,NO,55,All-net 500F=2000F;5d,6.0,0
1083161,80d12a555b1e8d7b2ea54635a3fc7f26af6810ce,DAKAR,K > 24 month,,,,,,,,,,,,NO,5,,,1
574339,443f7f48a96c334bdd658db39b8bbac13fefc26d,KAOLACK,K > 24 month,5500.0,24.0,5500.0,1833.0,26.0,0.0,705.0,178.0,5.0,,,NO,58,On net 200F=Unlimited _call24H,24.0,0
34034,0413bd44e7b73093daa4ce743e65d8c1b470f7c3,SAINT-LOUIS,K > 24 month,13200.0,60.0,13683.0,4561.0,67.0,3831.0,4449.0,258.0,3.0,,,NO,62,"Data: 100 F=40MB,24H",35.0,0
1940756,e6a3e3a83a8ef66d014d2e52c2e303182e259ad6,DIOURBEL,K > 24 month,5500.0,9.0,5444.0,1815.0,11.0,11873.0,0.0,5.0,2.0,,,NO,41,"Data:490F=1GB,7d",5.0,0
1471277,aede0934c9d2a7700d65f53192e8fd79e79fcb61,,K > 24 month,,,,,,,,,,,,NO,1,,,1
848221,64dda4be0f6d04f94a7de27b4065abca6914b1ce,DAKAR,K > 24 month,1000.0,2.0,999.0,333.0,5.0,12.0,3.0,2.0,0.0,,,NO,41,Mixt 250F=Unlimited_call24H,1.0,0
352630,29f1e07f1e4cb1efe713addf0fe0460c25fd521b,DAKAR,I 18-21 month,3100.0,8.0,3111.0,1037.0,7.0,2775.0,44.0,40.0,8.0,,,NO,58,All-net 600F= 3000F ;5d,3.0,0
483525,397baace5390a172859159d62bb047bb6d598317,,K > 24 month,1000.0,2.0,1001.0,334.0,3.0,0.0,0.0,33.0,1.0,,,NO,4,All-net 500F=2000F;5d,2.0,0
11688,0167b57fa5f8c65c9caa7af2846acfd1b7391d13,DAKAR,K > 24 month,7700.0,16.0,7700.0,2567.0,16.0,,158.0,162.0,10.0,,,NO,62,All-net 500F=2000F;5d,15.0,0
1133113,86cb0dbec409f2009eae9816e6b4f59d550989a8,,K > 24 month,3000.0,8.0,2999.0,1000.0,7.0,0.0,689.0,23.0,5.0,,,NO,31,On-net 500F_FNF;3d,3.0,0
2061419,f4fc318763e0e438b3a457658d24457a10dfd87a,SEDHIOU,K > 24 month,1500.0,2.0,491.0,164.0,1.0,,,4.0,,,,NO,1,,,0
518913,3dadb32d6012831a5d739bff63cc3b12dd3694fe,,K > 24 month,,,,,,,,,,,,NO,7,,,1
769925,5b8b27d9593b77627f87446c251a923a5541350b,,K > 24 month,16100.0,21.0,16004.0,5335.0,23.0,73.0,644.0,263.0,8.0,,,NO,38,All-net 500F=2000F;5d,16.0,0
1687469,c885d7895d698f10281905966f6748066477b02b,DAKAR,K > 24 month,1000.0,1.0,990.0,330.0,1.0,272.0,,,,,,NO,40,"Data:1000F=2GB,30d",1.0,0
1066174,7ec8e71d2c3da632bf03743003f34046ac409137,DAKAR,K > 24 month,3500.0,7.0,3525.0,1175.0,8.0,,8.0,107.0,3.0,,,NO,30,All-net 500F=2000F;5d,6.0,0
1369164,a2c5a33d90cd80da55937ba070241fbb42dd44c6,KAFFRINE,K > 24 month,1000.0,2.0,1000.0,333.0,2.0,,13.0,19.0,,,,NO,29,All-net 500F =2000F_AllNet_Unlimited,2.0,0
666512,4f34f7dee4d90851d0ab2c5f15fa54d2dd5aa50a,,K > 24 month,,,,,,,,,,,,NO,4,,,0
1522537,b4ec56b92f95f5c57dbd8b28f99bd8bfebd650ba,LOUGA,K > 24 month,20500.0,37.0,21673.0,7224.0,40.0,,416.0,711.0,8.0,,,NO,62,All-net 500F=2000F;5d,43.0,0
766826,5b2ad130d7aa499195118eb3bd8ff0af27a14c33,,K > 24 month,3500.0,5.0,3500.0,1167.0,5.0,,34.0,94.0,6.0,0.0,,NO,21,All-net 500F=2000F;5d,7.0,0
1767253,d208298e7aa4256b4e6862a5b0e30ac257c6e9a7,,K > 24 month,,,,,,,,,,,,NO,3,,,1
1914380,e382e87acc6fe16cc31b23f33348f4b1d5db06e6,KOLDA,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,17.0,11.0,36.0,,1.0,,NO,30,All-net 500F=2000F;5d,3.0,0
1395904,a5f487b46c770ec70cf9d58f8a26bbc67094e794,,I 18-21 month,3100.0,14.0,3100.0,1033.0,15.0,834.0,457.0,33.0,0.0,,,NO,45,On net 200F=Unlimited _call24H,5.0,0
1062876,7e64812cf58732bcd9c7cde964836095d21bbc7d,,K > 24 month,1900.0,5.0,1900.0,633.0,8.0,3289.0,22.0,0.0,1.0,,,NO,46,"Data: 100 F=40MB,24H",3.0,1
1802384,d63447f94c163ec68dff1f9e1c661163f9fb4404,,E 6-9 month,,,,,,,,,,,,NO,2,,,0
606171,4805ea87ce0384b356ecf5170041b2ca3a83f878,THIES,K > 24 month,2100.0,4.0,2134.0,711.0,7.0,,47.0,21.0,5.0,,,NO,52,All-net 500F=2000F;5d,2.0,0
1558169,b927d9f8501ca1b599c55b8bd0932feb5ceee167,LOUGA,K > 24 month,1500.0,2.0,1500.0,500.0,2.0,,20.0,6.0,2.0,,,NO,28,All-net 500F=2000F;5d,2.0,0
1578325,bb8dac65b0efbf2273d388dd9032fb5a59370d18,DAKAR,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,0.0,89.0,,,,,NO,27,CVM_on-net bundle 500=5000,2.0,0
1329416,9e0e9f485f0ec6cf460e9b52bcdfa645152a045d,,K > 24 month,5500.0,10.0,5401.0,1800.0,12.0,0.0,141.0,184.0,4.0,2.0,,NO,28,MIXT:500F= 2500F on net _2500F off net;2d,9.0,1
901782,6b43d0291e4dc6e51fe7a3180cf5724bcd2b2f3d,TAMBACOUNDA,K > 24 month,700.0,2.0,550.0,183.0,2.0,,10.0,3.0,,,,NO,13,,,0
243640,1d0b00685a1b62eb5b3930539f97551164a79e75,,K > 24 month,200.0,1.0,200.0,67.0,1.0,,155.0,8.0,,,,NO,11,On net 200F=Unlimited _call24H,1.0,0
1531577,b5fcccce7916ccb06f02fa63927ebc9c49ddb350,DAKAR,K > 24 month,3700.0,15.0,2903.0,968.0,15.0,,15.0,27.0,5.0,,,NO,33,All-net 500F=2000F;5d,1.0,0
1558775,b93939016196b1eb354bcfcb7a8eaa63aa014f4e,,K > 24 month,1500.0,4.0,1997.0,666.0,8.0,618.0,0.0,6.0,1.0,,,NO,11,"Data: 200 F=100MB,24H",3.0,0
2037120,f21bdfd4eeb4c8041ef851c8f807bf835a90a218,DAKAR,K > 24 month,500.0,1.0,204.0,68.0,1.0,0.0,2.0,,,,,NO,4,,,0
